epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,568.839,1.61687,2.01808,1.4955,0.5668,0.45307,0.4763,0.21662,1.59736,4.8566,1.40479,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955
2,994.875,1.67577,1.74443,1.52574,0.46146,0.38778,0.35573,0.15341,1.74216,3.73041,1.54294,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096
3,1399.38,1.80833,1.95707,1.63667,0.42777,0.34543,0.32238,0.132,1.82602,5.80934,1.69268,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1794.13,1.83491,2.00712,1.67048,0.38152,0.35019,0.29439,0.12561,1.8446,5.64642,1.6383,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2180.82,1.75734,1.84165,1.61092,0.54277,0.47544,0.48,0.22364,1.59201,4.03297,1.45123,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2559.07,1.6861,1.71566,1.56776,0.50923,0.46702,0.46504,0.22785,1.56413,3.75069,1.45835,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2945.8,1.6471,1.64154,1.52701,0.60483,0.54328,0.57365,0.28739,1.50069,2.9586,1.3792,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3327,1.61182,1.55711,1.49691,0.61245,0.55444,0.58605,0.29269,1.50363,3.65417,1.39614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3709.26,1.5865,1.51111,1.47245,0.65217,0.57689,0.62379,0.31991,1.43772,2.92719,1.3212,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4091.37,1.57372,1.48191,1.46561,0.64281,0.58127,0.62914,0.3273,1.42832,2.26323,1.31213,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4472.96,1.55112,1.45059,1.45078,0.66916,0.59578,0.64021,0.33908,1.38172,2.03862,1.30106,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4859.06,1.51901,1.39501,1.43767,0.66664,0.615,0.6633,0.36307,1.36128,2.37638,1.27891,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
